"","Sub_region","HAB","mod","jday","mDIC_mn","mDIC_se","mOmA_mn","mOmA_se","mPAR8_mn","mPAR8_se","mPARm_mn","mPARm_se","mTA_mn","mTA_se","mTemp_mn","mTemp_se","Perturbation"
"1810","UK","CC",2,50,2070.3416926294,6.42890159890504,3.84444452329226,0.0364239257136035,36.2077062270221,1.21104528299198,38.6271178862628,1.22380873790734,2416.45592175564,4.84783899407145,23.7548676470588,0.183245558329324,"Double Cover"
"1811","UK","CC",2,57,2070.15359762882,6.6239231797787,3.85056480333004,0.0370111107667651,36.3707882274281,1.2369466933798,38.8557578000155,1.23926231802172,2416.80839513772,4.98381249813644,23.7717424242424,0.188082595091442,"Double Cover"
"1812","UK","CC",2,64,2054.42073787301,3.89488812167582,3.96067720651392,0.0413164058737385,41.5277900695801,0.959386362871961,43.7787371183696,0.83175277883769,2411.316209963,3.80737283076206,24.1615789473684,0.175878351030881,"Double Cover"
"1813","UK","CC",2,71,2044.55095166939,2.86325556369135,4.0268465148163,0.0307683598250542,47.1180871051291,1.0948928186325,48.3394782024881,1.0199060349171,2407.52153216754,3.58186937559774,24.576747826087,0.115208576424679,"Double Cover"
"1814","UK","CC",2,78,2044.55095166939,2.86325556369135,4.0268465148163,0.0307683598250542,47.1180871051291,1.0948928186325,48.3394782024881,1.0199060349171,2407.52153216754,3.58186937559774,24.576747826087,0.115208576424679,"Double Cover"
"1815","UK","CC",2,85,2044.55095166939,2.86325556369135,4.0268465148163,0.0307683598250542,47.1180871051291,1.0948928186325,48.3394782024881,1.0199060349171,2407.52153216754,3.58186937559774,24.576747826087,0.115208576424679,"Double Cover"
"1816","UK","CC",2,92,2034.1595758256,4.79923731096006,4.07256915266537,0.0327286455561848,49.4004828354408,1.20891211363697,49.4713103195717,0.908205617426988,2400.94782160139,3.80970510745135,25.2296603448276,0.263659052203762,"Double Cover"
"1817","UK","CC",2,99,2032.38955256324,5.88720883074809,4.06440277280169,0.0383184196015504,51.2767824919327,1.25069123543881,49.8215650475543,1.13832623524565,2397.90220554226,4.03866420026045,25.5091369565217,0.297421966419543,"Double Cover"
"1818","UK","CC",2,106,2022.9103383801,5.47703331669559,4.10059407622225,0.0362908418106407,55.4550429634426,0.457551954029539,53.5587824945864,0.252245890072936,2391.61581530424,3.4261692211789,26.105697826087,0.255643791876282,"Double Cover"
"1819","UK","CC",2,113,2022.9103383801,5.47703331669559,4.10059407622225,0.0362908418106407,55.4550429634426,0.457551954029539,53.5587824945864,0.252245890072936,2391.61581530424,3.4261692211789,26.105697826087,0.255643791876282,"Double Cover"
"1820","UK","CC",2,120,2022.9103383801,5.47703331669559,4.10059407622225,0.0362908418106407,55.4550429634426,0.457551954029539,53.5587824945864,0.252245890072936,2391.61581530424,3.4261692211789,26.105697826087,0.255643791876282,"Double Cover"
"1821","UK","CC",2,127,2013.54964402007,6.47546146447874,4.070529245569,0.0344452350651248,57.0536664326986,0.441492020201097,53.2110835711161,0.253434831888163,2378.39537307654,5.16701525339893,26.9769770833333,0.250945803375341,"Double Cover"
"1822","UK","CC",2,134,2013.53219845045,6.4717584345963,4.0671512655292,0.0352179982757259,56.8263330459595,0.51011313583586,52.8958336512248,0.300305078626757,2377.1733843665,5.10619270712956,27.35751875,0.216280470141448,"Double Cover"
"1823","UK","CC",2,141,2013.53219845045,6.4717584345963,4.0671512655292,0.0352179982757259,56.8263330459595,0.51011313583586,52.8958336512248,0.300305078626757,2377.1733843665,5.10619270712956,27.35751875,0.216280470141448,"Double Cover"
"1824","UK","CC",2,148,2019.02691628912,5.70256114125604,4.01929227868589,0.0225633011483275,54.5775196838379,0.760448147794598,52.9303201293945,0.299096661095019,2375.80215106382,5.05200371173811,27.99498,0.326149708620648,"Double Cover"
"1825","UK","CC",2,155,2019.02691628912,5.70256114125604,4.01929227868589,0.0225633011483275,54.5775196838379,0.760448147794598,52.9303201293945,0.299096661095019,2375.80215106382,5.05200371173811,27.99498,0.326149708620648,"Double Cover"
"1826","UK","CC",2,162,2013.40130689148,7.51701204632559,3.99254298958943,0.0255273342676478,54.2854998111725,1.17306327208811,53.0087502002716,0.407125070279335,2365.1162623844,5.83574724889197,29.0242875,0.262746322028651,"Double Cover"
"1827","UK","CC",2,169,2013.40130689148,7.51701204632559,3.99254298958943,0.0255273342676478,54.2854998111725,1.17306327208811,53.0087502002716,0.407125070279335,2365.1162623844,5.83574724889197,29.0242875,0.262746322028651,"Double Cover"
"1828","UK","CC",2,176,2013.40130689148,7.51701204632559,3.99254298958943,0.0255273342676478,54.2854998111725,1.17306327208811,53.0087502002716,0.407125070279335,2365.1162623844,5.83574724889197,29.0242875,0.262746322028651,"Double Cover"
"1829","UK","CC",2,183,2036.86904112252,5.81149314933482,3.92751560630673,0.0246406870044209,51.7044165929159,0.837384033230197,53.4520835876465,0.376706463860911,2376.50232154862,3.27549721818008,30.1710166666667,0.238349217267397,"Double Cover"
